student_id,first_name,last_name,thai_first_name,thai_last_name,gender,dob,tel,email,address
690002,Veerapol,Prachayut,วีรพล,ประชายุต,M,2007-03-23,0845610716,690002@lreso.ac.th,50/27 ถ.พระราม 2 แขวงบางเขน จังหวัดนนทบุรี
690003,Thammarat,Prasertsom,ธรรมรัตน์,ประเสริฐโสม,F,2007-11-04,0827680514,690003@lreso.ac.th,85/44 ถ.ลาดพร้าว แขวงบางเขน จังหวัดชลบุรี
690004,Jirawat,Weerapakmethee,จิรวัฒน์,วีรภัทรเมธี,M,2007-03-08,0842471403,690004@lreso.ac.th,69/36 ถ.รังสิต แขวงดอนเมือง จังหวัดสมุทรปราการ
690005,Non,Siriworapat,นนท์,ศิริวรภัทร,M,2006-02-20,0877459622,690005@lreso.ac.th,86/14 ถ.รังสิต แขวงลาดกระบัง จังหวัดนนทบุรี
690006,Balika,Senawong,บาลิกา ,เสนาวงศ์,F,2007-04-20,0819083572,690006@lreso.ac.th,156/41 ถ.ลาดพร้าว แขวงลาดกระบัง จังหวัดกรุงเทพมหานคร
690007,Yossakorn,Srisadudee,ยศกร,ศรีสดุดี,M,2009-07-03,0810701132,690007@lreso.ac.th,75/26 ถ.สุขุมวิท แขวงบางเขน จังหวัดสมุทรปราการ
690008,Thanyaporn,Sanlerd,ธัญพร,แสนเลิศ,F,2008-04-14,0847283363,690008@lreso.ac.th,126/31 ถ.พหลโยธิน แขวงบางเขน จังหวัดกรุงเทพมหานคร
690009,Chatree,Tanasombat,ชาตรี,ธนสมบัติ,M,2011-02-07,0899964196,690009@lreso.ac.th,188/9 ถ.พหลโยธิน แขวงดอนเมือง จังหวัดสมุทรปราการ
690010,Niya,Santara,นิญา,แสนธารา,F,2009-01-05,0810964590,690010@lreso.ac.th,36/34 ถ.พหลโยธิน แขวงบางเขน จังหวัดกรุงเทพมหานคร
690011,Panisa,Arunchai,ปาณิศา,อรุณฉาย,F,2009-05-08,0891843212,690011@lreso.ac.th,184/3 ถ.ลาดพร้าว แขวงลาดกระบัง จังหวัดนนทบุรี
690012,Banyong,Intarama,บัลยงก์,อินทรมา,M,2009-02-01,0831606126,690012@lreso.ac.th,194/2 ถ.สุขุมวิท แขวงลาดกระบัง จังหวัดสมุทรปราการ
